epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4850.38,0.69937,10.0849,1.39436,0.00175,0.29749,0.02723,0.00768,3.49951,4.22713,4.80002,0.000659498,0.000659498,0.000659498
2,7618.83,1.03962,5.58667,1.65198,0.00053,0.08543,0.00109,0.0002,4.90736,3.51546,6.94929,0.00126052,0.00126052,0.00126052
3,10350.7,1.2482,3.77136,1.84834,0.02507,0.89849,0.09454,0.03185,1.84115,2.53997,3.19543,0.00179554,0.00179554,0.00179554
4,13613.6,1.24062,3.46533,1.80986,0.00146,0.01407,0.00201,0.00051,5.66245,5.02602,9.21127,0.001703,0.001703,0.001703
5,19555.2,1.18444,3.21369,1.76579,0.1497,0.92965,0.57902,0.35649,0.92102,2.48678,1.755,0.001604,0.001604,0.001604
6,22315.7,1.03161,3.02128,1.64316,0.13546,0.86231,0.52798,0.14732,1.74261,2.86671,2.27872,0.001505,0.001505,0.001505
7,25080.2,0.92165,2.94879,1.53657,0.06439,0.68141,0.34012,0.14078,1.73441,2.50641,2.55371,0.001406,0.001406,0.001406
8,29510.7,0.94757,2.9349,1.53469,0.25,0.90854,0.77417,0.5635,0.79799,2.02899,1.6009,0.001307,0.001307,0.001307
9,33501.4,0.87886,2.95518,1.49851,0.26531,0.65327,0.65361,0.48119,1.16804,2.34074,1.92778,0.001208,0.001208,0.001208
10,36282,0.82229,2.8122,1.45577,0.3361,0.77387,0.73858,0.50127,1.20111,2.1145,1.89935,0.001109,0.001109,0.001109
11,38967.1,0.77475,3.06647,1.68629,0.59669,0.7598,0.78035,0.57141,0.9347,2.25168,1.66278,0.00101,0.00101,0.00101
12,74170,0.61919,2.9675,1.50071,0.85511,0.60503,0.76323,0.60536,1.02575,1.9019,2.04505,0.000911,0.000911,0.000911
13,79120.8,0.56108,2.95027,1.41041,0.92916,0.56683,0.76634,0.6357,0.93467,2.0816,1.64618,0.000812,0.000812,0.000812
14,81761.1,0.53379,2.74248,1.40451,0.90172,0.5809,0.76267,0.66626,0.925,1.89753,1.70244,0.000713,0.000713,0.000713
15,84429.5,0.57204,2.65243,1.47056,0.9072,0.56985,0.75714,0.64814,0.74099,2.06625,1.35461,0.000614,0.000614,0.000614
16,90123.7,0.47537,2.79704,1.32565,0.90939,0.56482,0.75882,0.63866,0.79875,2.12573,1.39284,0.000515,0.000515,0.000515
17,92808.3,0.47998,2.58541,1.35636,0.7667,0.70352,0.78755,0.55269,0.78415,2.4908,1.42687,0.000416,0.000416,0.000416
18,97368,0.44366,2.61975,1.31314,0.82782,0.60402,0.76046,0.64034,0.67067,2.00842,1.25298,0.000317,0.000317,0.000317
19,105267,0.4716,2.62234,1.34219,0.85673,0.58894,0.76042,0.62728,0.78917,2.07552,1.39766,0.000218,0.000218,0.000218
20,109084,0.39676,2.62809,1.26061,0.93884,0.57085,0.76761,0.65781,0.81725,2.05597,1.49114,0.000119,0.000119,0.000119
