epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2689.36,0.43553,1.53667,1.30218,0.98584,0.55959,0.73458,0.55421,0.56195,1.50971,1.19489,0.000659498,0.000659498,0.000659498
2,5501.56,0.3377,0.57849,1.22372,0.73711,0.55795,0.65011,0.48889,0.61842,1.11828,1.1956,0.00119487,0.00119487,0.00119487
3,8196.79,0.33858,0.34188,1.22359,0.91582,0.55377,0.70484,0.54349,0.81142,0.63418,1.66157,0.00159825,0.00159825,0.00159825
4,10861.6,0.32831,0.28071,1.21434,0.99643,0.56048,0.68202,0.54842,0.8332,0.46106,1.60396,0.001406,0.001406,0.001406
5,56622.2,0.30773,0.23565,1.19412,0.99924,0.55779,0.7054,0.59081,0.38676,0.32072,0.92949,0.001208,0.001208,0.001208
6,59292.9,0.27214,0.21406,1.15851,0.99927,0.56683,0.69484,0.6321,0.55391,0.40406,1.13594,0.00101,0.00101,0.00101
7,62248.2,0.26318,0.20146,1.13735,0.96597,0.57062,0.71326,0.61821,0.39353,0.34414,0.80834,0.000812,0.000812,0.000812
8,64933.9,0.2342,0.17964,1.11466,0.999,0.56683,0.67554,0.64934,0.24819,0.25518,0.7252,0.000614,0.000614,0.000614
9,67595.7,0.22272,0.17058,1.09642,0.9945,0.56683,0.6539,0.61985,0.25011,0.22658,0.68362,0.000416,0.000416,0.000416
10,70254.8,0.20218,0.15414,1.07268,0.99958,0.56683,0.68202,0.64871,0.22908,0.19118,0.6684,0.000218,0.000218,0.000218
